Track_photon_ID	Energy_MeV	Wavelength_nm	Time_ns
39875	6.92936	178.926	20.475
39874	6.81771	181.856	23.2937
39873	6.82303	181.714	18.5557
39872	6.73857	183.992	21.2757
39871	6.84723	181.072	23.1048
39870	6.98737	177.44	18.0965
39869	6.91301	179.349	26.0576
39868	6.95997	178.139	21.5293
39867	6.92838	178.951	22.6105
39866	7.05993	175.617	23.7406
39865	7.09815	174.671	22.5173
39864	6.84312	181.181	28.3607
39863	7.3885	167.807	22.6183
39862	6.90165	179.644	23.8412
39861	6.81849	181.835	17.9026
39860	7.08327	175.038	24.0599
39859	6.97249	177.819	19.4414
39858	6.95224	178.337	23.0413
39857	7.36045	168.447	23.4738
39856	6.93873	178.684	23.6745
39855	7.02942	176.379	20.2167
39854	6.95643	178.23	22.2835
39853	6.95604	178.24	22.432
39852	7.03383	176.268	23.2123
39851	7.39465	167.667	18.6509
39850	6.88164	180.167	22.3986
39849	6.91892	179.196	19.055
39848	6.88997	179.949	19.7356
39847	6.79578	182.443	22.3599
39846	7.05698	175.69	22.1572
40217	6.92223	179.11	21.288
40216	6.89575	179.798	22.1962
40215	7.06054	175.601	19.6365
40214	6.94604	178.496	22.8171
40213	6.86582	180.582	19.5684
40212	6.91614	179.268	23.0666
40211	7.38017	167.996	20.1638
40210	7.04439	176.004	22.994
40209	6.90004	179.686	20.4332
40208	7.07221	175.312	20.7006
40207	6.72007	184.498	20.0389
40206	6.86557	180.588	22.2756
40205	7.37543	168.104	24.7224
40204	7.30312	169.769	22.2558
40203	6.99534	177.238	19.9125
40202	7.31747	169.436	24.4264
40201	7.37717	168.065	23.4693
40200	6.98078	177.608	20.4025
40199	6.84412	181.154	20.2563
40198	6.93103	178.883	18.3229
40197	6.91891	179.196	24.9262
40196	7.36461	168.351	20.1673
40195	7.06243	175.555	19.0646
40194	7.33388	169.057	17.9396
40193	6.9773	177.697	20.6095
40192	6.9913	177.341	18.5685
40191	6.923	179.09	18.2563
40190	7.08427	175.013	21.1112
40189	6.80429	182.215	20.4579
40188	7.37324	168.154	22.9113
40187	6.80476	182.202	22.3661
40186	6.80256	182.261	20.4565
40185	7.26258	170.717	19.731
40184	7.05996	175.616	18.3045
40183	6.95296	178.319	17.986
40182	6.89749	179.753	22.4942
40181	6.99674	177.203	23.0007
40180	6.90073	179.668	19.3201
40179	7.35922	168.475	21.2396
40178	7.22289	171.654	25.6611
40177	6.93255	178.844	23.5573
40176	7.00395	177.02	22.2374
